id,title,namerank,nr_std,refusal_rate,mean_cov,mean_acc,n_models,region_group,region,country,category,start_year,start_month,peak_views,total_views,eff_duration,days_above_10,tail_daily,gold_words
event_2022_russian_invasion_of_ukraine,2022 Russian invasion of Ukraine,1.0,0.0,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2022,2,2095287,51992090,24.81,51,48373.4,192
event_siege_of_mariupol,Siege of Mariupol,1.0,0.0,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2022,2,57593,2645693,45.94,90,1316.2,184
event_2022_french_presidential_election,2022 French presidential election,1.0,0.0,0.0,0.0,0.0,37,Western Europe,Western Europe,France,politics_elections,2022,4,265945,2602989,9.79,23,1723.8,178
event_2021_israel_palestine_crisis,2021 Israel–Palestine crisis,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Israel,conflict_terrorism,2021,5,159497,2086305,13.08,17,1361.8,189
event_2022_philippine_presidential_election,2022 Philippine presidential election,1.0,0.0,0.0,0.0,0.0,37,South & Southeast Asia,Southeast Asia,Philippines,politics_elections,2022,5,288762,1747356,6.05,8,743.1,169
event_mahsa_amini_protests,Mahsa Amini protests,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Iran,civil_unrest,2022,9,49024,1628334,33.22,109,924.3,175
event_gamestop_short_squeeze,GameStop short squeeze,1.0,0.0,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,United States,business_tech,2021,1,219456,1576682,7.18,10,1158.2,185
event_bucha_massacre,Bucha massacre,1.0,0.0,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2022,3,171195,1383888,8.08,9,1650.2,192
event_coronation_of_charles_iii_and_camilla,Coronation of Charles III and Camilla,1.0,0.0,0.0,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,royalty_ceremony,2023,5,225953,1291813,5.72,11,962.7,172
event_2021_suez_canal_obstruction,2021 Suez Canal obstruction,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Egypt,accident_disaster,2021,3,150343,1230405,8.18,11,1216.3,163
event_2021_peruvian_general_election,2021 Peruvian general election,1.0,0.0,0.0,0.0,0.0,37,Latin America,Latin America,Peru,politics_elections,2021,4,177564,1180975,6.65,12,288.7,185
event_2021_israeli_legislative_election,2021 Israeli legislative election,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Israel,politics_elections,2021,3,101351,1126315,11.11,25,442.1,69
event_2022_fifa_world_cup_final,2022 FIFA World Cup final,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Qatar,sports,2022,12,35012,1116740,31.9,54,3747.5,172
event_death_and_funeral_of_prince_philip_duke_of_edinburgh,"Death and funeral of Prince Philip, Duke of Edinburgh",1.0,0.0,0.0,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,royalty_ceremony,2021,4,289444,1042715,3.6,6,765.3,197
event_acquisition_of_twitter_by_elon_musk,Acquisition of Twitter by Elon Musk,1.0,0.0,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,United States,business_tech,2022,4,77351,1038358,13.42,32,1276.0,189
event_assassination_of_jovenel_mo_se,Assassination of Jovenel Moïse,1.0,0.0,0.0,0.0,0.0,37,Latin America,Latin America,Haiti,crime_legal,2021,7,107690,585557,5.44,7,281.0,167
event_cyclone_tauktae,Cyclone Tauktae,1.0,0.0,0.0,0.0,0.0,37,South & Southeast Asia,South Asia,India,natural_disaster,2021,5,23446,425769,18.16,35,214.8,177
event_2021_western_north_america_heat_wave,2021 Western North America heat wave,1.0,0.0,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,International,natural_disaster,2021,6,52709,418387,7.94,10,370.5,180
event_2022_united_nations_climate_change_conference,2022 United Nations Climate Change Conference,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Egypt,politics_elections,2022,11,22816,364936,15.99,28,280.4,141
event_2023_israeli_judicial_reform_protests,2023 Israeli judicial reform protests,1.0,0.0,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Israel,civil_unrest,2023,1,29341,347820,11.85,32,355.2,176
event_2022_crimean_bridge_explosion,2022 Crimean Bridge explosion,1.0,0.0,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2022,10,51604,329058,6.38,13,207.0,190
event_bankruptcy_of_ftx,Bankruptcy of FTX,1.0,0.0,0.0,0.0,0.0,37,Latin America,Latin America,Bahamas,business_tech,2022,11,10597,266817,25.18,59,679.0,199
event_2021_cuban_protests,2021 Cuban protests,1.0,0.0,0.0,0.0,0.0,37,Latin America,Latin America,Cuba,civil_unrest,2021,7,27928,241785,8.66,12,165.8,199
